,doi,note,title
220,['10.1021/es505054f'],[],Metabolite profiling of fish skin mucus: a novel approach for minimally-invasive environmental exposure monitoring and surveillance
221,['10.1016/j.scitotenv.2013.10.077'],[],Separation and measurement of silver nanoparticles and silver ions using magnetic particles
222,[],['No results'],PROcEED: Probabilistic reverse dosimetry approaches for estimating exposure distributions
223,['10.1289/ehp.1306638'],[],Current perspectives on the use of alternative species in human health and ecological hazard assessments
224,['10.1021/es403094q'],[],Uptake of perfluoroalkyl acids into edible crops via land applied biosolids: Field and greenhouse studies
225,[],['No results'],Optimization of Whole-body Zebrafish Sectioning Methods for Mass Spectrometry Imaging 2013
226,['10.1088/1752-7155/7/2/029001'],[],Meeting Reports for 2013: Recent Advances in Breath Biomarker Research
227,[],['No results'],Estimating lifetime risk from spot biomarker data and intra‐class correlation coefficients ICC
228,['10.1021/es400802w'],[],Sunlight-Driven Reduction of Silver Ions by Natural Organic Matter: Formation and Transformation of Silver Nanoparticles
229,['10.1016/j.colsurfa.2014.05.041'],[],Transport of Fluorescently Labeled Hydroxyapatite Nanoparticles in Saturated Granular Media at Environmentally Relevant Concentrations of Surfactants
230,['10.1021/es402200h'],[],Multiwalled Carbon Nanotube Deposition on Model Environmental Surfaces
231,['10.1016/j.scitotenv.2013.07.059'],[],Phototoxicity of TiO2 nanoparticles to a freshwater benthic amphipod: are benthic systems at risk
232,['10.1021/es5020828'],[],Interactions of Graphene Oxide Nanomaterials with Natural Organic Matter and Metal Oxide Surfaces
233,['10.1039/c3gc42004c'],[],Ruthenium on chitosan: A recyclable heterogeneous catalyst for aqueous hydration of nitriles to amides
234,['10.1021/es400839h'],[],Surface Immobilisation of Engineered Nanomaterials for in-situ Study of their Environmental Transformations and Fate
235,[],['No results'],'Greener' Biomimetic Synthesis of Nanomaterials using Anti-oxidants from Plants and Microwaves
236,['10.1021/acs.est.5b01215'],[],Identification of novel perfluoroalkyl ether carboxylic acids PFECAs and sulfonic acids PFESAs in natural waters using accurate mass time-of-flight mass spectrometry TOFMS
237,['10.2174/13852728113179990043'],[],Microwave assisted alkylation of amines with alcohols; magnetically recoverable catalysis
238,['10.1039/c3en00103b'],[],Polymorph-dependent titanium dioxide nanoparticle dissolution in acidic and alkali digestions
239,['10.1016/j.tox.2015.03.011'],[],Sensitivity of neuroprogenitor cells to chemical-induced apoptosis using a multiplexed assay suitable for high-throughput screening*
240,"['10.1016/j.tox.2015.03.009', '10.1016/j.tox.2012.10.016']",['Multiple results'],A Four Step Approach to Evaluate Mixtures for Consistency with Dose Addition
241,['10.1080/15287394.2014.922391'],[],Evaluating an alternative method for rapid urinary creatinine determination
242,['10.1530/REP-13-0011'],[],"Atrazine-induced elevation or attenuation of the LH surge in the ovariectomized, estrogen-primed female rat: role of adrenal progesterone"
243,[],['No results'],"Landscape and regional context differentially affect nest parasitism and nest predation for Wood Thrush in central Virginia, USA"
244,['10.1177/0192623312466959'],[],Scientific and regulatory policy committee SRPC paper: Assessment of Circulating Hormones in Nonclinical Toxicity Studies. III Female Reproductive Hormones
245,['10.1007/s10098-016-1146-7'],[],"The Path Towards Healthier Societies, Environments  Economies: A Broader Perspective for Sustainable Engineered Nanomaterials"
246,['10.1002/etc.2965'],[],Prioritization of pharmaceuticals for potential environmental hazard through leveraging a large scale mammalian pharmacological dataset
247,[],['No results'],Developmental Toxicity of Perfluoronanoic Acid in Mice
248,[],['No results'],Titanium Dioxide Nano- and Micro-particles:  Transport and Fate in Wastewater Treatment Systems
249,['10.1039/c3gc42640h'],[],Journey on greener pathways: from the use of alternate energy inputs and benign reaction media to sustainable applications of nano-catalysts in synthesis and environmental remediation
250,[],['No results'],Essential Set of Molecular Descriptors for ADME Prediction in Drug and Environmental Chemical Space
251,[],['No results'],Weathering of Polyethylene-Nano-clay Composites and the Release of Nanoparticles
252,['10.1016/j.reprotox.2013.12.010'],[],Statin Drugs Markedly Inhibit Testosterone Production by Rat Leydig Cells In Vitro: Implications for Men
253,['10.1016/j.vascn.2013.03.008'],[],A Public-Private Consortium Advances Cardiac Safety Evaluation: Achievements of the HESI Cardiac Safety Technical Committee
254,[],['No results'],Evaluating the additivity of perfluoroalkyl acids PFAAs in binary combinations on peroxisome proliferator-activated receptor-aPPARa activation
255,[],['No results'],Surfactant-Wrapped Multiwalled Carbon Nanotubes in Aquatic Systems: Surfactant Displacement in the Presence of Humic Acid
256,[],['No results'],Effects of the anti-microbial contaminant triclocarban on the reproductive function and ovarian transcriptome of the fathead minnow Pimephales promelas
257,[],['No results'],"Estimation of human percutaneous bioavailability for two novel brominated flame retardants, 2-ethylhexyl tetrabromobenzoate EH-TBB and bis2-ethylhexyl tetrabromophthalate BEH-TEBP, using the parallelogram approach"
258,['10.1016/j.buildenv.2014.05.006'],[],Comparison of energy-based indicators used in life cycle assessment tools for buildings
259,['10.1002/ieam.1663'],[],Applying Comprehensive Environmental Assessment to Research Planning for Multiwalled Carbon Nanotubes: Refinements to Inform Future Stakeholder Engagement
260,[],['No results'],Hybrid Vapor Stripping-Vapor Permeation Process for Recovery and Dehydration of 1-Butanol and Acetone/Butanol/Ethanol from Dilute Aqueous Solutions. Part 2. Experimental Validation with Simple Mixtures and Actual Fermentation Broth
261,[],['No results'],TOXICOLOGIC PATHOLOGY  Deriving Performance Confidence Limits to Develop Predictive Models for Systemic Toxicity using ToxRefDB
262,['10.1071/EN14037'],[],Current Status and Future Direction for Examining Engineered Nanoparticles in Natural Systems
263,['10.3109/10408444.2013.835785'],[],Dose-response approaches for nuclear receptor-mediated modes of action for liver carcinogenicity: Results of a workshop
264,['10.1016/j.yrtph.2015.03.005'],[],Evaluation of the ToxRTool's ability to rate the reliability of toxicological data for human health hazard assessments
265,['10.1093/toxsci/kft204'],[],Dosimetric Anchoring of In Vivo and In Vitro Studies for Perfluorooctanoate and Perfluorooctanesulfonate
266,['10.1016/j.tiv.2013.02.012'],[],Mechanism-based testing strategy using in vitro approaches for identification of thyroid hormone disrupting chemicals
267,['10.1002/etc.2456'],[],Augmenting aquatic species sensitivity distributions with interspecies toxicity estimation models
268,['10.3109/00498254.2013.845704'],[],Optimizing the use of rainbow trout hepatocytes for bioaccumulation assessments with fish
269,[],['No results'],Transcriptomic-based effects monitoring for endocrine active chemicals: Assessing relative contribution of treated wastewater to downstream pollution
270,['10.1088/1752-7155/10/1/010201'],[],"Cellular respiration: replicating in vivo systems biology for in vitro exploration of human exposome, microbiome, and disease pathogenesis biomarkers"
271,['10.1039/c3ra46537c'],[],Greener iodination of arenes using sulphated ceria-zirconia catalysts in polyethylene glycol
272,['10.1016/j.aquatox.2013.12.023'],[],Modulation of Aromatase Activity as a Mode of Action for Endocrine Disrupting Chemicals in a Marine Fish
273,['10.1039/c3cc44415e'],[],Microcystin-LR removal from aqueous solutions using  a magnetically  separable N-doped TiO2  nanocomposite under visible light irradiation
274,['10.1021/ar400309b'],[],Microwave-Assisted Chemistry: Synthetic Applications for Rapid Assembly of Nanomaterials and Organics
275,[],['No results'],Metal Oxide Nanoparticles Alter Spontaneous Activity and GABAergic Responses in Cortical Netural Networks in Vitro
276,[],['No results'],Chemical-Induced Effects on Neurodevelopment: A Review of Animal and Human Studies
277,['10.1093/toxsci/kfs335'],[],An animal model of marginal iodine deficiency during development: The thyroid axis and neurodevelopmental outcome. 
278,['10.1093/toxsci/kft243'],[],Flame retardant BDE-47 effectively activates nuclear receptor CAR in human primary hepatocytes
279,['10.1016/j.ecoenv.2014.07.020'],[],Developmental Toxicity of Louisiana Crude Oil-Spiked Sediment to Zebrafish
280,[],['No results'],Advancing Computational Exposure Science to Enable Risk Assessment for the 21st Century
281,[],['No results'],Development of a Human Physiologically Based Pharmacokinetics PBPK Model For Extrapolation of Dermal Permeability Coefficients: A Case Study with Lindane
282,[],['No results'],Industrial process system assessment: bridging process engineeringand life cycle assessment through multiscale modeling.
283,['10.1093/toxsci/kfu199'],[],Adverse outcome pathway AOP development I:  Strategies and principles
284,['10.1016/j.envint.2014.07.010'],[],Changes in epidemiologic associations with different exposure metrics: A case study of phthalate exposure associations with body mass index and waist circumference
285,['10.1021/es501428u'],[],Environmental gestagens activate fathead minnow Pimephales promelas nuclear progesterone and androgen receptors in vitro
286,[],[],Using Toxicological Evidence from QSAR Models in Practice
287,[],['No results'],Perchlorate exposure is associated with oxidative stress and indicators of serum iron homeostasis among NHANES 2005-2008 subjects
288,['10.1038/nbt.2914'],[],Phenotypic screening of the ToxCast chemical library to classify toxic and therapeutic mechanisms
289,[],['No results'],"Dietary predictors of young children’s exposures to chlorpyrifos, permethrin, and 2,4-D using urinary biomonitoring"
290,['10.1016/j.chemosphere.2014.02.072'],[],Flame Retardant Exposures in California Early Childhood Education Environments
291,[],['No results'],The Use of Mode of Action Information in Risk Assessment: Quantitative Key Events/Dose-Response Framework for Modeling the Dose-Response for Key Events
292,[],['No results'],Changes in Soil Microbial Communities and Diversity in Response to Long-Term Silver Exposure
293,['10.3109/1354750X.2015.1094136'],[],Kidney injury biomarkers and urinary creatinine variability in nominally healthy adults
294,[],['No results'],Analysis of Biomarker Utility using a PBPK Model for Carbaryl
295,[],['No results'],"Assessing variability in chemical acute toxicity of unionid mussels: Influence of intra- and inter-laboratory testing, life stage, and species"
296,['10.1007/s10098-014-0817-5'],['Multiple results'],Biocatalyst greenness
297,['10.1016/j.envpol.2014.04.030'],[],Fate and lability of silver in soils: effect of ageing
298,['10.1021/sc500160f'],[],"Iron Oxide-Supported Copper Oxide Nanoparticles Nanocat-Fe-CuO: Magnetically Recyclable Catalysts for the Synthesis of Pyrazole Derivatives, 4-Methoxyaniline, and Ullmann-type Condensation Reactions"
299,['10.1021/sc5002512'],[],Eco-Friendly Magnetic Iron Oxide Pillared Montmorillonite for Advanced Catalytic Degradation of Dichlorophenol
300,['10.1039/c4gc00418c'],[],Bare Magnetic Nanoparticles: Sustainable Synthesis and Applications in Catalytic Organic Transformations
301,['10.1002/etc.2793'],[],Metformin exposure at environmentally relevant concentrations causes potential endocrine disruption in adult male fish
302,[],['No results'],Development of a Consumer Product Ingredient Database for Chemical ExposureScreening and Prioritization
303,"['10.1021/es503206c', '10.1021/es501055d']",['Multiple results'],Spatial and Temporal Patterns in Concentrations of Perfluorinated Compounds in Bald Eagle Nestlings in the Upper Midwestern United States
304,['10.1002/ieam.1540'],[],On the Likelihood of Single-Walled Carbon Nanotubes Causing Adverse Marine Ecological Effects
305,[],['No results'],Biological Treatment of Water Disinfection Byproducts using Biotrickling Filter under Anoxic and Anaerobic Conditions
306,[],['No results'],Flow Chemistry for Designing Sustainable Chemical Synthesisjournal article
307,['10.1007/s11367-015-0850-6'],[],A new data architecture for advancing life cycle assessment
308,[],['No results'],Environmentally Relevant Mixing Ratios in Cumulative Assessments: A Study of theKinetics of Pyrethroids and Their Ester Cleavage Metabolites in Blood and Brain; and the Effect of a Pyrethroid Mixture on the Motor Activity of Rats
309,[],['No results'],Intra- and inter-laboratory reliability of a cryopreserved trout hepatocyte assay for the prediction of chemical bioaccumulation potential
310,[],['No results'],Molecular epidemiological assessment of neuronal function in the BNST of non-human primates after chronic voluntary alcohol consumption
311,['10.1021/es502676e'],[],Predictive Endocrine Testing in the 21st Century Using In Vitro Assays of Estrogen Receptor Signaling Responses
312,['10.1016/j.yrtph.2014.05.008'],[],A New Method for Generating Distribution of Biomonitoring Equivalents to Support Exposure Assessment and Prioritization
313,['10.1166/jnn.2015.11631'],[],Differential genomic effects on signaling pathways by two different CeO2 nanoparticles in HepG2 cells
314,['10.3109/1354750X.2015.1134666'],[],Comparing biomarker measurements to a normal range: when to use standard error of the mean SEM or standard deviation SD confidence intervals tests
315,[],['No results'],Technometrics Assessing Uncertainty in Parameter Estimates for the Hill Model of Concentration-Response
316,[],['No results'],A framework for modeling non-steady state concentrations of semivolatile organic compounds indoors ― I. Emissions from diffusional sources and sorption by interior surfaces
317,[],['No results'],Adverse outcome pathway AOP development II:  Best practices
318,[],[],"The Long Non-coding RNA HOTTIP Enhances Pancreatic Cancer Cell Proliferation, Survival and Migration"
319,[],['No results'],Nature Biotechnology Analysis of the Effects of Cell Stress and Cytotoxicity on In Vitro Assay Activity in the ToxCast Dataset
320,[],['No results'],Transport of TiO2 Nanoparticles and Nanostructured Particles through a Porous Medium
321,[],['No results'],Polybrominated Diphenyl Ether DE-71Interferes with Thyroid Hormone Action Independent Of Effects On Circulating Levels of Thyroid Hormone in Male Rats
322,['10.1016/j.scitotenv.2014.04.120'],[],Preferential Interaction of Na+ over K+ to Carboxylate-functionalized Silver Nanoparticles
323,['10.1080/1062936X.2014.898691'],[],A rule-based expert system for chemical prioritization using effects-based chemical categories
324,['10.1016/j.envpol.2014.06.027'],[],Impact of solar UV radiation on toxicity of ZnO nanoparticles through photocatalytic reactive oxygen species ROS generation and photo-induced dissolution
325,[],['No results'],Effects of environmental pollutants on cellular iron homeostasis and ultimate links to human disease
326,['10.1016/j.envint.2014.07.011'],[],"A Proposal for Assessing Study Quality: Biomonitoring, Environmental Epidemiology, and Short-Lived Chemicals BEES-C Instrument"
327,[],[],In vitro metabolism and bioavailability tests for endocrine active substances:  What is needed next for regulatory purposes
328,[],['No results'],News: Multistep organic synthesis using flow chemistry
329,['10.1039/c3ce42150c'],[],Microwave-Assisted Synthesis of Mesoporous Nano-Hydroxyapatite Using Surfactant Templates
330,[],['No results'],Hybrid Vapor Stripping-Vapor Permeation Process for Recovery and Dehydration of 1-Butanol and Acetone/Butanol/Ethanol from Dilute Aqueous Solutions. Part 1. Process Simulations
331,['10.1007/s10669-014-9518-1'],[],Data dialogues: critical connections for designing and implementing future nanomaterial research
332,['10.1016/j.ntt.2014.11.008'],[],"Effects of Toluene, Acrolein and Vinyl Chloride on Motor Activity of Drosophila Melanogaster"
333,['10.1039/c4gc02088j'],[],A green chemistry-based classification model for the synthesis of silver nanoparticles
334,['10.1021/ie501081q'],[],Magnetic silica supported palladium catalyst: synthesis of allyl aryl ethers in water
335,['10.1016/j.yrtph.2015.04.004'],[],Increasing scientific confidence in adverse outcome pathways: Application of tailored Bradford-Hill considerations for evaluating weight of evidence
336,[],['No results'],Shape and Steepness of Toxicological Dose-Response Relationships. Part I. Continuous Response Data
337,['10.1021/es503583j'],[],High Throughput Heuristics for Prioritizing Human Exposure to Environmental Chemicals
338,['10.1002/etc.2948'],[],"Observed and modeled effects of pH on bioconcentration of diphenhydramine, a weakly basic pharmaceutical, by fathead minnows"
339,['10.3109/00498254.2015.1081710'],[],Tissue time course and bioavailability of the pyrethroid insecticide bifenthrin in the Long-Evans rat
340,['10.1016/j.taap.2014.11.016'],[],Assessment of Serum Biomarkers in Rats After Exposure to Pesticides of Different Chemical Classes
341,[],['No results'],CHEMICAL RESEARCH IN TOXICOLOGY  Predicting hepatotoxicity using ToxCast in vitro bioactivity and chemical structure
342,[],['No results'],Microwave-Assisted Synthesis – Catalytic Applications in Aqueous Media
343,['10.1021/es502513w'],[],SHEDS-HT: An Integrated Probabilistic Exposure Model for Prioritizing Exposures to Chemicals with Near-Field and Dietary Sources
344,['10.1016/j.scitotenv.2015.09.141'],[],Impact of natural organic matter on particle behavior and phototoxicity of titanium dioxide nanoparticles
345,['10.1016/j.aca.2015.10.040'],[],Analytical Characterisation of Nanoscale Zero-Valent Iron: A Methodological Review
346,[],['No results'],Spatiotemporal Sensitivity Analysis of Vertical Transport of Pesticides in Soil
347,['10.1016/j.watres.2015.03.003'],[],Fate of Zinc and Silver Engineered Nanoparticles in Sewerage Networks
348,['10.1021/es502976y'],[],"Toxicity, Bioaccumulation and Biotransformation of Silver Nanoparticles in Marine Organisms"
349,['10.1039/c4gc00748d'],[],Carbon-coated magnetic palladium: applications in partial oxidation of alcohols and coupling reactions.
350,['10.1002/etc.2662'],['Multiple results'],Development of an adverse outcome pathway for acetylcholinesterase inhibition leading to acute mortality
351,[],['No results'],Assessment of inter-laboratory reproducibility of micro-electrode array-based measurements for neurotoxicity testing
352,[],['No results'],Spatial Distribution of Small Water Body Types across Indiana Ecoregions
353,[],['No results'],Acute toxicity prediction to threatened and endangered species using Interspecies Correlation Estimation ICE models
354,['10.1002/jctb.4695'],[],Effect of membrane and process characteristics on cost and energy usage for separating alcohol-water mixtures using hybrid vapor stripping-vapor permeation process
355,['10.1111/bcpt.12239'],[],In Vitro and Modeling Approaches to Risk Assessment from the U.S. Environmental Protection Agency ToxCast Program
356,[],['No results'],Biological Effects–Based Tools for Monitoring Impacted Surface Waters in the Great Lakes: A Multiagency Program in Support of the Great Lakes Restoration Initiative
357,[],['No results'],"An integrated genetic linkage map and comparative genome analysis for the estuarine Atlantic killifish, Fundulus heteroclitus"
358,[],['No results'],Advancing computational toxicology: A selected review of the accomplishments of Gilman D. Veith 1944-2013
359,[],['No results'],Small Chamber Study on Characterizing Organophosphorus Flame Retardants Sorption on Indoor Building Materials and Consumer Products
360,[],['No results'],A Global Survey of Perfluoroalkyl Carboxylates PFCAs and Perfluoroalkane Sulfonates PFSAs in Surface Soils: Distribution Patterns and Mode of Occurrence
361,[],['No results'],Exposure Science in an Age of Rapidly Changing Climate: Challenges and Opportunities
362,['10.1016/j.aquatox.2014.10.022'],[],Environmental hormones and their impacts on sex differentiation in fathead minnows
363,[],['No results'],Meeting Report:  FutureTox II: Contemporary Concepts in Toxicology “Pathways to Prediction: In Vitro and In Silico Models for Predictive Toxicology”
364,[],['No results'],ALTEX Pathways of Toxicity
365,['10.1021/es502169p'],[],Near-road modeling and measurement of cerium-containing particles generated by nanoparticle diesel fuel additive use
366,['10.1016/j.ccr.2014.12.014'],[],Fate of Engineered Nanoparticles: Implications in the Environment
367,['10.1016/j.reprotox.2014.05.008'],[],Novel molecular events associated with altered steroidogenesis induced by exposure to atrazine in the intact and castrate male rat
368,[],['No results'],Germination and early plant development of ten plant species exposed to TiO2 and CeO2 nanoparticles
369,['10.1088/1752-7155/8/3/037107'],[],Exploratory breath analyses for assessing toxic dermal exposure of firefighters during suppression of structural burns
370,['10.1371/journal.pone.0109332'],[],"Non-Hodgkin Lymphoma risk and insecticide, fungicide and fumigant use in the Agricultural Health Study"
371,['10.1016/j.taap.2014.11.011'],[],"Use of Electroencephalography EEG to Assess CNS Changes Produced by Pesticides with different Modes of Action: Effects of Permethrin, Deltamethrin, Fipronil, Imidacloprid, Carbaryl, and Triadimefon"
372,['10.1093/toxsci/kfu194'],[],Developmental Exposure to Organophosphate Flame Retardants Elicits Overt Toxicity and Alters Behavior in Zebrafish Danio rerio
373,[],['No results'],"Comparative lung toxicity of engineered nanomaterials ENM utilizing in vitro, ex vivo and in vivo approaches"
374,['10.1002/etc.2756'],[],Phenotypic and genomic responses to titanium dioxide and cerium oxide nanoparticles in Arabidopsis germinants
375,[],['No results'],Reproductive Toxicology Identification of vascular disruptor compounds by a tiered analysis in zebrafish embryos and mouse embryonic endothelial cells
376,['10.1016/j.neuro.2014.08.010'],[],The cellular and Genomic response of rat dopaminergic neurons N27 to coated nanosilver
377,['10.1016/j.scitotenv.2015.06.070'],[],Modeling tribal exposures to methyl mercury from fish consumption
378,['10.1016/j.reprotox.2014.05.014'],[],Immediate and long-term consequences of vascular toxicity during zebrafish development
379,[],['No results'],Connecting Toxicology and Chemistry to Ensure Safer Chemical Design
380,[],['No results'],Species Sensitivity Distributions: estimating toxicity thresholds for aquatic ecological communities and assessing impacts of chemical exposures
381,[],['No results'],Evaluating consumer product life cycle sustainability with integrated metrics: A Bounty® case study
382,['10.1021/acs.jafc.5b04515'],[],Omics Revolution in Agricultural Research
383,['10.1098/rstb.2014.0022'],[],Leveraging existing data for prioritization of the ecological risks of human and veterinary pharmaceuticals to aquatic organisms
384,['10.1098/rstb.2013.0569'],[],Medicating the environment: Assessing risks of pharmaceuticals to wildlife and ecosystems
385,[],['No results'],ENVIRONMENTAL BIODEGRADABILITY OF [14C] SINGLE-WALLED CARBON NANOTUBESBY TRAMETES VERSICOLOR AND NATURAL MICROBIAL CULTURES FOUND IN NEWBEDFORD HARBOR SEDIMENT AND AERATED WASTEWATER TREATMENT PLANT SLUDGE
386,[],['No results'],"Conceptual Design of a Chemical Process for the Recovery of Ce, Eu, and Y from used LED Phosphors from Flat Panel Displays"
387,['10.1002/ajim.22403'],[],Investing in Prospective Cohorts for Etiologic Study of Occupational Exposures
388,['10.1002/etc.2708'],[],A novel framework for interpretation of data from the fish short-term reproduction assay FSTRA for the detection of endocrine-disrupting chemicals
389,['10.1016/j.ijheh.2015.02.002'],['Multiple results'],Characterization of silver nanoparticles in selected consumer products and its relevance for predicting children's potential exposures
390,['10.1088/1752-7155/8/2/029001'],[],Extending breath analysis to the cellular level: current thoughts on the human microbiome and the expression of organic compounds in the human exposome
391,[],['No results'],Development of the larval amphibian growth and development assay: Effects of benzophenone-2 exposure in Xenopus laevis from embryo to juvenile
392,[],['No results'],MicroRNA Biomarkers of Toxicity in Biological Matrices
393,['10.1080/02786826.2015.1027809'],[],Factors affecting the ambient physicochemical properties of cerium-containing particles generated by nanoparticle diesel fuel additive use
394,['10.1504/IJBT.2015.074796'],[],Developing Toxicogenomics as a Research Tool by Applying Benchmark Dose-Response Modeling to inform  Chemical Mode of Action and Tumorigenic Potency
395,['10.1289/ehp.1409138'],[],Identification and prioritization of relationships between environmental stressor and adverse human health impacts
396,[],['No results'],Effect of Land Cover Change on Snow Free Surface Albedo
397,[],['No results'],Cleaning Water Contaminated With Heavy Metal Ions Using Pyrolyzed Banana Peel Adsorbents
398,['10.1111/nrm.12056'],[],Analysis of Sensitivity and Uncertainty in an Individual-Based Model of a Threatened Wildlife Species
399,['10.1093/toxsci/kfu169'],[],Incorporating Population Variability and Susceptible Subpopulations into Dosimetry for High-Throughput Toxicity Testing
400,['10.1016/j.enmm.2015.07.003'],[],Assessment of the bioaccessibility of micronized copper wood in synthetic stomach fluid
401,['10.1080/10937404.2014.956854'],[],Estimating Common Parameters of Lognormally Distributed Environmental and Biomonitoring Data: Harmonizing Disparate Statistics from Publications
402,['10.1016/j.envres.2014.09.026'],[],Serum concentrations of perfluorinated compounds PFC among selected populations of children and Adults in California
403,['10.1016/j.toxlet.2014.09.020'],[],P-glycoprotein Inhibition by the Agricultural Pesticide Propiconazole and Its Hydroxylated Metabolites: Implications for Pesticide-Drug Interactions
404,[],['No results'],Characterizing Fluorotelomer and Polyfluoroalkyl Substances in New and Aged Fluorotelomer-Based Polymers for Degradation Studies with GC/MS and LC/MS/MS
405,[],['No results'],Hidden markov models for estimating animal mortality from anthropogenic hazards journal article
406,"['10.3109/1354750X.2014.988646', '10.3109/1354750X.2015.1006911']",['Multiple results'],"Analysis of inflammatory cytokines in human blood, breath condensate, and urine using a multiplex immunoassay platform"
407,[],['No results'],News: Green money laundering
408,[],['No results'],"Approaches for predicting effects of unintended environmental exposure to an endocrine active pharmaceutical, tamoxifen 12/2/15 AVAILABLE ONLINE, PENDING FINAL"
409,['10.1088/1752-7155/9/3/039001'],[],Adapting biomarker technologies to adverse outcome pathways AOPs research: current thoughts on using in vivo discovery for developing in vitro target methods
410,[],['No results'],Sequence Alignment to Predict Across Species Susceptibility SeqAPASS: A web-based tool for addressing the challenges of cross-species extrapolation of chemical toxicity
411,[],['No results'],Determination of Human Hepatic CYP2C8 and CYP1A2 Age-Dependent Expression toSupport Human Health Risk Assessment for Early Ages
412,[],['No results'],Environmental Health Perspectives Prioritizing Environmental Chemicals for Obesity and Diabetes Outcomes Research: A Screening Approach Using ToxCast High Throughput Data
413,['10.1021/sc500341h'],[],Magnetic Carbon Supported Palladium Nanoparticles: An Efficient and Sustainable Catalyst for Hydrogenation Reactions
414,[],['No results'],Contact Dermatitis Is skin penetration a determining factor in skin sensitisation potential and potency Refuting the notion of a LogKow threshold for Skin Sensitisation
415,['10.1002/etc.2686'],['Multiple results'],Effects of single and multiple applications of glyphosate and aminopyralid on simple constructed plant communities
416,['10.1002/etc.2583'],[],Species sensitivity and dependence on exposure conditions impacting the phototoxicity of TiO2 nanoparticles to benthic organisms
417,[],['No results'],Profiling of the Tox21 Chemical Collection for Mitochondrial Function: I. Compounds that Decrease Mitochondrial Membrane Potential
418,['10.1021/es504347u'],[],"Decades-Scale Degradation of Commercial, Side-Chain, Fluorotelomer-based Polymers in Soils  Water"
419,[],['No results'],Biochemical Effects of six Ti02 and four Ce02 Nanomaterials in HepG2 cells
420,['10.1039/c4em00583j'],[],Correlation of Trace Contaminants to Wastewater Management Practices in Small Watersheds
421,[],['No results'],Isomers/enantiomers of perfluorocarboxylic acids: Method development and detection in environmental samples
422,[],['No results'],An integrated experimental and computational approach for characterizing the kinetics and mechanism of triadimefon racemization
423,['10.1093/toxsci/kfv160'],[],"Development of 3D-QSAR model for acetylcholinesterase inhibitors using a combination of fingerprint, molecular docking, and structure-based pharmacophore approaches"
424,['10.1021/es402911e'],[],Developing a Reference Material for Diffusion-Controlled Formaldehyde Emissions Testing
425,[],['No results'],Environmental aging alters AIOH3 coating of TiO2 nanoparticles enhancing their photocatalytic and phototoxicity activities
426,[],['No results'],A Physiologically Based Pharmacokinetic PBPK Model of Vitamin D
427,['10.1007/s10646-015-1442-8'],[],Glyphosate and dicamba herbicide tank mixture effects on native plant and non-genetically engineered soybean seedlings
428,[],['No results'],Core–shell nanoparticles: synthesis and applications in catalysis and electrocatalysis
429,['10.1093/toxsci/kfu187'],[],Inhaled Diesel Emissions Generated with Cerium Oxide Nanoparticle Fuel Additive induce Adverse Pulmonary and Systemic Effects
430,[],['No results'],Concentrations and trends of Perfluorinted chemicals in potential indoor sources  from 2007 through 2011
431,[],['No results'],Adverse Outcome Pathways – Organizing Toxicological Information to Improve Decision Making
432,['10.1289/ehp.1104870'],[],Advancing the Next Generation of Risk Assessment
433,['10.1088/1752-7155/9/4/047108'],[],Immunochemistry for high-throughput screening of human exhaled breath condensate EBC media: implementation of automated quanterix SIMOA instrumentation
434,"['10.1371/journal.pone.0124224', '10.1371/journal.pone.0112655']",['Multiple results'],Identification of Modulators of the Nuclear Receptor Peroxisome Proliferator-Activated Receptor α PPARα in a Mouse Liver Gene Expression Compendium
435,['10.1016/j.taap.2014.11.006'],[],Improving In Vitro to In Vivo Extrapolation by Incorporating Toxicokinetic Measurements: A Case Study of Lindane-Induced Neurotoxicity
436,['10.1093/toxsci/kfu320'],[],Temporal changes in biological responses and uncertainty in assessing risks of endocrine-disrupting chemicals: Insights from intensive time-course studies with fish
437,[],['No results'],"Journal of Chemical Information and Modeling  A New Publicly Available Chemical Query Language, CSRML, to support Chemotype Representations for Application to Data-Mining and Modeling"
438,[],['No results'],Metabolomic effects in HepG2 cells exposed to four TiO2 amd two CeO2 naomaterials
439,['10.1007/s10098-013-0686-3'],[],The Use of Life Cycle Tools to Support Decision Making for Sustainable Nanotechnologies
440,[],['No results'],Moderate Levels of Developmental Thyroid Hormone Insufficiency Reduce Expression Use-Dependent Plasticity Genes and Hippocampal LTP In Vivo
441,[],['No results'],Pathway-based approaches for assessment of real-time exposure to an estrogenic wastewater treatment plant effluent on fathead minnow reproduction
442,[],['No results'],Analytical approaches exploring the connection between endocrine-active pharmaceuticals in water to effects in fish
443,[],['No results'],Novel Fe-Pd/SiO2 catalytic materials for degradation of chlorinated organic compounds in water
444,['10.1021/es504229h'],[],"Speciation and Lability of Ag-, AgCl- and Ag2S-Nanoparticles in Soil Determined by X-Ray Absorption Spectroscopy and Diffusive Gradients in Thin Films"
445,[],['No results'],A framework for modeling non-steady state concentrations of semivolatile organic compounds indoors ― II. Interactions with particulate matter
446,[],['No results'],Photochemical transformation of graphene oxide in sunlight journal
447,[],['No results'],"Modeling TiO2 nanoparticle phototoxicity: The importance of chemical concentration, ultraviolet radiation intensity, and time"
