account,description,n_tweets,n_followers,location
@onlyorganic,Only Organic has nothing to hide.,1,19520.0,
@osperh80,,1,,
@pammarrone,Pioneering the discovery and development of effective and environmentally responsible bio-based products for pest management and plant health,1,2200.0,US
@pant_prateek,"Environmentalist, Scientist, Mathematician & Programmer. RTs ≠ Endorsements.",1,11795.0,US
@petervikesland,"Global Citizen. Father. Husband. Teacher. Researcher. Professor @ Virginia Tech. Interested in nanotechnology, sustainability, and disease.",1,457.0,
@pizzzzzle,molecular biologist,1,34.0,US
@pmctrawler,Tweets when articles get their first Commons comment. Not a service of or sanctioned by NIH. Experimental; accuracy not guaranteed!,1,162.0,
@puhfu,"pediatrician/hospitalist, informaticist, healthcare advocate, nerd, Bruin, dad. CMIO+Chief, Pediatric Hospital Medicine @ Harbor-UCLA. Everton, Galaxy, Dodgers.",1,1152.0,US
@puruckertom,Research ecologist at the USEPA and teach at the University of North Georgia.,1,46.0,US
@pwmullen,,1,,
@rameshsi3,"cricket enthusiast, field hockey romantic. Gandalf (LOTR) All we have to decide is what to do with the time that is given to us",1,30.0,US
@reneerym,,1,10.0,
@rguha,foo,2,598.0,US
@rlanzara,Entrepreneurial Scientist and Pharmacologist interested in how our senses and receptors work and everything else that follows from that...,2,8809.0,US
@scimichael,PhD HighEnergyPhysics/Optics| 5~Fiber•Optic•Patents| Fusion~Quanta~DarkMatter/Energy~Astrophysics |•| Biophysics,1,1747.0,US
@servestomwright,,2,66.0,AU
@sfoucart,Journaliste scientifique au Monde et aussi parfois auteur (http://tinyurl.com/lqdxz7l). Rationaliste. RT n'implique pas adhésion. 2ème degré fréquent.,1,6187.0,
@siero5335,"関東の某大学でヒトの健康に関する研究をしています。つぶやきは所属組織を代表・代弁するものではありません。アイコン(Attribution: By Abacenis, CC3.0)",1,502.0,JP
@skim_lab,,2,14.0,
@snap_is,Everyone's prosperity relies on nature.,1,901.0,
@snowyowls,,2,1189.0,
@socioexposome,"Tracking the emerging #exposome / #bigdata, narratives, ontologies & #omics / #socialscience & #socialdeterminantsofhealth (by @bridgethanna RT ≠ endorsement)",1,75.0,US
@solectrica,"Asesoría Eléctrica,  Mantenimiento, Supervisión, Diseño  y  Construcción (503)25560020",1,1101.0,SV
@solhog,"The truth should not be silenced!
Sustainable democracy, human and environmental global rights requires the truth! (Middleaged female biologist mother forever)",1,2005.0,SE
@spbarrett9,Applied Sport Scientist & Performance Nutritionist | Doctoral Researcher @LJMUSportSci | Assistant Lecturer @DHSESWIT | Former International Track Cyclist,1,762.0,IE
@stemina_bio,,1,,
@steveashleyplus,Freelance science/tech writer-editor: SciAm NYT BBC NOVANext AutoEng NewSci Nautilus TheWeek PNAS PopSci Hakai BoingBoing FQXi PhysTdy MechEng ModernistCuisine,1,1093.0,
@stormpetrel,"Hartlepudlian who likes sport, music, education, language, technology.....nosy about almost everything!",1,848.0,
@tamaki_fujimori,"麻布高校
東京大学
東京大学大学院博士課程卒業
博士研究員
民間企業就職
自己啓発
平成進化論メルマガ
ドラッカー大好き
特許・契約等の知的財産業務に目覚めています。
知識が増えれば増えるほど、勉強しなければいけない項目が増えていくことに気づかされる毎日です。",1,633.0,
@theReal_Rebel,"Filmmaker, Writer, Artist, former Actress, comicbook artist/writer sometime Comics reporter, VFX artist 3D & 2D & stop-mo Animator,Writer's Ass't.",1,1899.0,
@themochii,=),1,59.0,
@tim999H,"so easy and yet difficult... a summary.  a network is only a strong as a weakness that interests the members... watch the click and look, obvious circles break!",1,80.0,
@transcriptomes,A transcriptome feed made using #Rstats. Updates made each day at 08:00 Eastern Daylight Time. Created by @davetang31. Image source http://goo.gl/OMOLY3.,1,232.0,
@trj2,Pathogens and Human Health Group Leader in Umik at Eawag.    All views expressed are mine own.,1,96.0,CH
@usmlestatistics,,1,7.0,
@vegfrssfeeds,,1,346.0,
@wtrflea_papers,Twitterbot of #Daphnia papers. Curated by @peterdfields.,1,48.0,
@yonghuasupply,"Industrial Supply, Free Shipping",1,86.0,
@zushi_twt,気になったトピックのメモ帳です。時事ネタ、サイエンス、趣味、ものの見方・考え方　についてつぶやいてます。今年は在外研究中なので特に思考的なものが増えるかも   Ski/NBA/Swiss/EPFL/eawag/ETH/JSPS/Environ/Chem/Scientist,1,52.0,CH
