,abstract,doi,first_seen,journal,n_tweets,pmid,published,title
37,"Fipronil is a widely used, broad-spectrum pesticide that is applied as an equal mixture of two enantiomers. As regulations on older pesticides become more stringent, production and application of fipronil is expected to grow, leading to increased inputs into aquatic environments and complex exposures to biota. To better understand the potential exposures introduced by fipronil contamination, we conducted subchronic toxicity tests with larval fathead minnows (Pimephales promelas) and waterborne fipronil and its enantiomers and exposed juvenile fathead minnows to fipronil-spiked sediment. Enantioselective toxicity was observed in fish after the 7-d subchronic exposure, with increased toxicity of the racemate and (+) enantiomer observed compared with the (-) enantiomer. Curiously, toxicities of the racemate and (+) enantiomer were not significantly different, even though the racemate contains 50% of the (+) enantiomer and 50% of the less toxic (-) enantiomer. During the sediment exposure, racemic fipronil in sediment was transformed primarily to fipronil sulfide, while exposed fish rapidly accumulated fipronil and/or fipronil sulfide and transformed the majority to fipronil sulfone. Using the results of the sediment-exposure experiment, the authors explored a mechanism that may contribute to the interesting trends in enantioselective toxicity observed during the waterborne exposures. In tandem, the aquatic toxicity experiment and the spiked sediment exposure demonstrate the potentially complex behavior of fipronil in sediment and fish.",10.1002/etc.2041,2012-10-26T22:54:02+00:00,Environmental Toxicology & Chemistry,3,23109279,2012-01-01T00:00:00+00:00,Enantioselective toxicity and bioaccumulation of fipronil in fathead minnows (Pimephales promelas) following water and sediment exposures
38,"Historically, the prediction of reproductive and early developmental toxicity has largely relied on the use of animals. The Adverse Outcome Pathway (AOP) framework forms a basis for the development of new non-animal test methods. It also provides biological context for mechanistic information from existing assays. However, a single AOP may not capture all events that contribute to any relevant toxic effect, even in single chemical exposure scenarios. AOP networks, defined as sets of AOPs sharing at least one common element, are capable of more realistically representing potential chemical effects. They provide information on interactions between AOPs and have the potential to reveal previously unknown links between biological pathways. Analysis of these AOP networks can aid the prioritization of assay development, whether the goal is to develop a single assay with predictive utility of multiple outcomes, or development of assays that are highly specific for a particular mode of action. This paper provides a brief overview of the AOPs related to reproductive and early developmental toxicity currently available in the AOP Wiki (http://aopwiki.org), and gives an example of an AOP network based on five reproductive and early developmental toxicity-related AOPs for fish to illustrate how AOP networks can be used for assay development and refinement.",10.1016/j.reprotox.2015.04.003,2016-04-29T10:55:03+00:00,Reproductive Toxicology,1,25889759,2015-08-01T00:00:00+00:00,The potential of AOP networks for reproductive and developmental toxicity assay development
39,"The progression of science is driven by the accumulation of knowledge and builds upon published work of others. Another important feature is to place current results into the context of previous observations. The published literature, however, often does not provide sufficient direct information for the reader to interpret the results beyond the scope of that particular article. Authors tend to provide only summary statistics in various forms, such as means and standard deviations, median and range, quartiles, 95% confidence intervals, and so on, rather than providing measurement data. Second, essentially all environmental and biomonitoring measurements have an underlying lognormal distribution, so certain published statistical characterizations may be inappropriate for comparisons. The aim of this study was to review and develop direct conversions of different descriptions of data into a standard format comprised of the geometric mean (GM) and the geometric standard deviation (GSD) and then demonstrate how, under the assumption of lognormal distribution, these parameters are used to answer questions of confidence intervals, exceedance levels, and statistical differences among distributions. A wide variety of real-world measurement data sets was reviewed, and it was demonstrated that these data sets are indeed of lognormal character, thus making them amenable to these methods. Potential errors incurred from making retrospective estimates from disparate summary statistics are described. In addition to providing tools to interpret ""other people's data,"" this review should also be seen as a cautionary tale for publishing one's own data to make it as useful as possible for other researchers.",10.1080/10937404.2014.956854,2014-12-17T11:37:30+00:00,"Journal of Toxicology and Environmental Health, Part B",1,25333994,2014-10-22T23:00:00+00:00,Estimating common parameters of lognormally distributed environmental and biomonitoring data: harmonizing disparate statistics from publications.
40,"Toxicokinetic (TK) models link administered doses to plasma, blood, and tissue concentrations. High throughput TK (HTTK) performs in vitro to in vivo extrapolation to predict TK from rapid in vitro measurements and chemical structure-based properties. A significant toxicological application of HTTK has been ""reverse dosimetry,"" in which bioactive concentrations from in vitro screening studies are converted into in vivo doses (mg/kg BW/day). These doses are predicted to produce steady-state plasma concentrations that are equivalent to in vitro bioactive concentrations. In this study, we evaluate the impact of the approximations and assumptions necessary for reverse dosimetry and develop methods to determine whether HTTK tools are appropriate or may lead to false conclusions for a particular chemical. Based on literature in vivo data for 87 chemicals, we identified specific properties (e.g., in vitro HTTK data, physico-chemical descriptors, and predicted transporter affinities) that correlate with poor HTTK predictive ability. For 271 chemicals we developed a generic HT physiologically-based TK (HTPBTK) model that predicts non-steady state chemical concentration time-courses for a variety of exposure scenarios. We used this HTPBTK model to find that assumptions previously used for reverse dosimetry are usually appropriate, except most notably for highly bioaccumulative compounds. For the thousands of man-made chemicals in the environment that currently have no TK data, we propose a four element framework for chemical TK triage that can group chemicals into seven different categories associated with varying levels of confidence in HTTK predictions. For 349 chemicals with literature HTTK data, we differentiated those chemicals for which HTTK approaches are likely to be sufficient, from those that may require additional data.",10.1093/toxsci/kfv118,2015-09-01T13:23:54+00:00,Toxicological Sciences,2,26085347,,Toxicokinetic Triage for Environmental Chemicals
41,,10.1093/toxsci/kfr254,2016-04-18T17:05:27+00:00,Toxicological Sciences,2,21948869,2012-01-15T00:00:00+00:00,"Integration of Dosimetry, Exposure, and High-Throughput Screening Data in Chemical Toxicity Assessment"
42,"Sevoflurane (SEV), a commonly used anesthetic agent for invasive surgery, is directly eliminated via exhaled breath and indirectly by metabolic conversion to inorganic fluoride and hexafluoroisopropanol (HFIP), which is also eliminated in the breath. We studied the post-operative elimination of SEV and HFIP of six patients that had undergone a variety of surgeries lasting between 2.5 to 8.5 h using exhaled breath analysis. A classical three compartments pharmacokinetic model developed for the study of environmental contaminants was fitted to the breath data. We found that SEV kinetic behavior following surgery (for up to six days) is consistent across all subjects whereas the production and elimination of HFIP varies to some extent. We developed subject specific parameters for HFIP metabolism and interpreted the differences in the context of timing and dose of anesthesia, type of surgery, and specific host factors. We propose methods for assessing individual patient liver function using SEV as a probe molecule for assessing efficiency of liver metabolism to HFIP. This work is valuable not only for the clinical study of metabolism recovery, but potentially also for the study of the interaction of other manufactured and environmental compounds with human systems biology in controlled exposure and observational studies.",10.1088/1752-7155/7/3/036001,2014-06-24T10:16:11+00:00,Journal of Breath Research,1,23735676,2013-06-07T00:00:00+00:00,Post-operative elimination of sevoflurane anesthetic and hexafluoroisopropanol metabolite in exhaled breath: pharmacokinetic models for assessing liver function.
43,"In the past decade, alternative benign organic methodologies have become an imperative part of organic syntheses and chemical reactions. The various new and innovative sustainable organic reactions and methodologies using no solvents or catalysts and employing alternative energy inputs such as microwaves, sonication, conventional and room temperature heating conditions, mechanochemical mixing, and high-speed ball milling are discussed in detail. Environmentally benign and pharmaceutically important reactions such as multicomponent, condensation, and Michael addition reactions; ring opening of epoxides; and oxidation and other significant organic reactions are discussed. An overview of benign reactions through solvent- and catalyst-free (SF-CF) chemistry and a critical perspective on emerging synergies between SF-CF organic reactions are discussed.",10.1002/cssc.201300485,2013-12-04T23:31:16+00:00,ChemSusChem,1,24357535,2013-01-01T00:00:00+00:00,Solvent-Free and Catalysts-Free Chemistry: A Benign Pathway to Sustainability.
44,,10.1093/toxsci/kft204,,,0,,,
45,"Environmental exposures occurring early in life may have an important influence on cancer risk later in life. Here we investigated carryover effects of dichloroacetic acid (DCA), a small molecule analog of pyruvate with metabolic programming properties, on age-related incidence of liver cancer. The study followed a stop-exposure/promotion design in which 4-week old male and female B6C3F1 mice received the following treatments: deionized water alone (dH2O, control); dH2O with 0.06% phenobarbital (PB), a mouse liver tumor promoter; or DCA (1.0, 2.0, or 3.5 g/L) for 10 weeks followed by dH2O or PB (n=20-30/group/sex). Pathology and molecular assessments were performed at 98 weeks of age. In the absence of PB, early-life exposure to DCA increased the incidence and number of hepatocellular tumors in male and female mice compared to controls. Significant dose trends were observed in both sexes. At the high dose level, 10 weeks of prior DCA treatment induced comparable effects (≥85% tumor incidence and number) to those seen after continuous lifetime exposure. Prior DCA treatment did not enhance or inhibit the carcinogenic effects of PB, induce persistent liver cytotoxicity or preneoplastic changes on histopathology, or alter DNA sequence variant profiles within liver tumors compared to controls. Distinct changes in liver mRNA and miRNA profiles associated with prior DCA treatment were not apparent at 98 weeks. Our findings demonstrate that early-life exposure to DCA may be as carcinogenic as life-long exposures, potentially via epigenetic-mediated effects related to cellular metabolism.",10.1093/carcin/bgv057,2015-05-20T16:27:13+00:00,Carcinogenesis,2,25913432,,Latent carcinogenicity of early-life exposure to dichloroacetic acid in mice.
46,,10.1016/j.tox.2010.12.010,,,0,,,
47,"Understanding health risks to embryonic development from exposure to environmental chemicals is a significant challenge given the diverse chemical landscape and paucity of data for most of these compounds. High-throughput screening (HTS) in the U.S. Environmental Protection Agency (EPA) ToxCast™ project provides vast data on an expanding chemical library currently consisting of > 1,000 unique compounds across > 500 in vitro assays in phase I (complete) and Phase II (under way). This public data set can be used to evaluate concentration-dependent effects on many diverse biological targets and build predictive models of prototypical toxicity pathways that can aid decision making for assessments of human developmental health and disease.",10.1289/ehp.1103412,2011-07-27T11:35:16+00:00,Environmental Health Perspectives,1,21788198,2011-07-25T00:00:00+00:00,Environmental Impact on Vascular Development Predicted by High Throughput Screening.
48,"With a dramatic rise in complexity, needs of nanotoxicology research go beyond simple forms of nanomaterials. This study compared the phototoxicity of nano-TiO2 and graphene-TiO2 nanocomposite (GNP). GNP was synthesized based on a hydrothermal method, which simultaneously performed the reduction of graphene oxide and nano-TiO2 loading. A series of acute toxicity tests of nano-TiO2, graphene and GNP was performed on two aquatic organisms, Daphnia magna and Oryzias latipes. Fast and substantial agglomeration and sedimentation of nanoparticles in test media and surface attachment of nano-TiO2 and GNP on D. magna surface was observed. Similar phototoxicity of nano-TiO2 and GNP for both species existed, though compared with nano-TiO2, GNP had a 2.3-fold increase in visible light photocatalytic ROS generation. In summary, this study demonstrated the significance of illumination spectrum, particle behavior, and species sensitivity on nanophototoxicity, and the needs for research on increasingly sophisticated functional materials.",10.1016/j.chemosphere.2014.03.058,2014-04-21T06:48:10+00:00,Chemosphere,8,25048889,,Comparison of TiO2 nanoparticle and graphene–TiO2 nanoparticle composite phototoxicity to Daphnia magna and Oryzias latipes
49,"ToxCast is a multiyear effort to develop a cost-effective approach for the US EPA to prioritize chemicals for toxicity testing. Initial evaluation of more than 500 high-throughput (HT) microwell-based assays without metabolic activation showed that most lacked high specificity and sensitivity for detecting genotoxicants. Thus, EPA initiated a pilot project to investigate the use of standard genotoxicity endpoints using medium-throughput genotoxicity (MTG) assays in the context of a large testing program. Twenty-five chemicals were selected from the ToxCast program based in part on their known genotoxicity. The two MTG assays used were the Ames II(™) assay and 96-well In Vitro MicroFlow(®) Micronucleus (MN) assay. The Ames II assay showed a reasonable correlation with published Ames test data and industry submissions, though specificity was much better than sensitivity due to restraints on top concentrations as prescribed by ToxCast. Overall concordance was 73% both with and without metabolic activation. The flow MN assay had concordances of 71% and 58% with and without metabolic activation, respectively, when compared to published data and submissions. Importantly, a comparison of results without S9 from the MTG assays to an HT ToxCast p53 activation assay showed a fairly good degree of concordance (67%). The results reported here indicate that assays for genotoxicity endpoints can be conducted in a MT format and have the potential to add to the interpretation of results from large-scale testing programs such as EPA's ToxCast program. Inherent limitations such as the top concentrations used in large scale testing programs are discussed. Environ. Mol. Mutagen., 2014. © 2014 Wiley Periodicals, Inc.",10.1002/em.21934,2014-12-24T23:59:57+00:00,Environmental & Molecular Mutagenesis,2,25537651,,An evaluation of 25 selected ToxCast chemicals in medium‐throughput assays to detect genotoxicity
50,"The U.S. Environmental Protection Agency is developing chemical screening and prioritization programs to evaluate environmental chemicals for potential risk to human health in a rapid and efficient manner. As part of these efforts, it is important to catalog available information on chemical toxicity and exposure from widely dispersed sources. The main objective of this analysis is to define important aspects of the exposure space and to catalog the available exposure information for chemicals being considered for analysis as part of the U.S. EPA ToxCast™ screening and prioritization program. Publicly available exposure data have been extracted into ACToR (Aggregated Computational Toxicology Resource), which combines information for hundreds of thousands of chemicals from >600 public sources. We use data from ACToR to assess the exposure data landscape for environmental chemicals. Of the roughly 100,000 chemicals that have at least limited toxicity information available, less than one-fifth also have exposure information - and for most of these the information is of limited utility (e.g., production volume). Readily accessible data on concentrations in exposure-related media are only available for a much smaller fraction. Among these, the largest number of chemicals is measured in water with over 1150 unique compounds, followed by 788 substances measured in soil, and 670 in air. These small numbers clearly reflect a focus of resources on those substances previously identified as possibly posing a hazard to human health. Exposure to a much broader number of chemicals will need to be measured in order to fully realize the envisioned goal of using exposure information to guide toxicity testing.",10.1016/j.scitotenv.2011.10.046,2013-01-09T02:50:33+00:00,Science of the Total Environment,1,22104386,2011-11-23T00:00:00+00:00,The exposure data landscape for manufactured chemicals.
51,,10.1093/toxsci/kfs335,2016-04-14T16:46:28+00:00,Toxicological Sciences,0,23288053,2013-03-15T00:00:00+00:00,An Animal Model of Marginal Iodine Deficiency During Development: The Thyroid Axis and Neurodevelopmental Outcome
52,"Consumer products are a primary source of chemical exposures, yet little structured information is available on the chemical ingredients of these products and the concentrations at which ingredients are present. To address this data gap, we created a database of chemicals in consumer products using product Material Safety Data Sheets (MSDSs) publicly provided by a large retailer. The resulting database represents 1797 unique chemicals mapped to 8921 consumer products and a hierarchy of 353 consumer product ""use categories"" within a total of 15 top-level categories. We examine the utility of this database and discuss ways in which it will support (i) exposure screening and prioritization, (ii) generic or framework formulations for several indoor/consumer product exposure modeling initiatives, (iii) candidate chemical selection for monitoring near field exposure from proximal sources, and (iv) as activity tracers or ubiquitous exposure sources using ""chemical space"" map analyses. Chemicals present at high concentrations and across multiple consumer products and use categories that hold high exposure potential are identified. Our database is publicly available to serve regulators, retailers, manufacturers, and the public for predictive screening of chemicals in new and existing consumer products on the basis of exposure and risk.",10.1016/j.fct.2013.12.029,2014-02-11T14:34:11+00:00,Food & Chemical Toxicology,1,24374094,2013-01-01T00:00:00+00:00,Development of a consumer product ingredient database for chemical exposure screening and prioritization
53,"Oxidative stress has been implicated in the pathogenesis of a variety of diseases ranging from cancer to neurodegeneration, highlighting the need to identify chemicals that can induce this effect. The antioxidant response element (ARE) signaling pathway plays an important role in the amelioration of oxidative stress. Thus, assays that detect the up-regulation of this pathway could be useful for identifying chemicals that induce oxidative stress.",10.1289/ehp.1104709,2012-11-11T15:06:09+00:00,Environmental Health Perspectives,0,22551509,2012-08-01T00:00:00+00:00,Profiling Environmental Chemicals for Activity in the Antioxidant Response Element Signaling Pathway Using a High Throughput Screening Approach
54,,10.3109/10408444.2010.529105,,,0,,,
55,"The U.S. Environmental Protection Agency (EPA) has established an ongoing effort to identify the major perfluorocarboxylic acid (PFCA) sources in nonoccupational indoor environments and characterize their transport and fate. This study determined the concentrations of fluorotelomer alcohols (FTOHs), which are the precursors to PFCAs, in fifty-four consumer products collected from the U.S. open market in the years of 2011 and 2013. The products included carpet, commercial carpet-care liquids, household carpet/fabric-care liquids, treated apparel, treated home textiles, treated non-woven medical garments, floor waxes, food-contact paper, membranes for apparel, and thread-sealant tapes. The FTOHs quantified were 1H,1H,2H,2H-perfluoro-1-octanol (6:2 FTOH), 1H,1H,2H,2H-perfluoro-1-decanol (8:2 FTOH), and 1H,1H,2H,2H-perfluoro-1-dodecanol (10:2 FTOH). The content of 6:2 FTOH ranged from non-delectable to 331μgg(-1), 8:2 FTOH from non-delectable to 92μgg(-1), and 10:2 FTOH from non-detectable to 24μgg(-1). In addition, two consumer products from the home textile category were tested in the washing-drying process. One product from the treated apparel category and one from the home textile category were tested in the micro-scale chamber under elevated temperatures. The experimental data show that the washing-drying process with one cycle did not significantly reduce the FTOH concentrations in the tested consumer products. FTOH off-gassing was observed under accelerated aging conditions. Future tests should include air sampling to allow determination of the absolute emission rates at different temperatures. The results of this study should be informative to exposure assessment and risk management.",10.1016/j.chemosphere.2014.06.012,2014-07-11T18:25:13+00:00,Chemosphere,3,24997516,2014-07-08T00:00:00+00:00,Determination of fluorotelomer alcohols in selected consumer products and preliminary investigation of their fate in the indoor environment.
56,,10.1095/biolreprod.111.090977,,,0,,,
57,,10.1002/etc.2456,,,0,,,
58,"A public workshop, organized by a Steering Committee of scientists from government, industry, universities and research organizations, was held at the National Institute of Environmental Health Sciences (NIEHS) in September, 2010. The workshop explored the dose-response implications of toxicant modes of action (MOA) mediated by nuclear receptors. The dominant paradigm in human health risk assessment has been linear extrapolation without a threshold for cancer, and estimation of sub-threshold doses for non-cancer and (in appropriate cases) cancer endpoints. However, recent publications question the application of dose-response modeling approaches with a threshold. The growing body of molecular toxicology information and computational toxicology tools has allowed for exploration of the presence or absence of sub-threshold doses for a number of receptor-mediated MOAs. The workshop explored the development of dose-response approaches for nuclear receptor-mediated liver cancer, within a MOA Human Relevance Framework (HRF). Case studies addressed activation of the AHR, the CAR and the PPARα. This article describes the workshop process, key issues discussed and conclusions. The value of an interactive workshop approach to apply current MOA/HRF frameworks was demonstrated. The results may help direct research on the MOA and dose-response of receptor-based toxicity, since there are commonalities for many receptors in the basic pathways involved for late steps in the MOA, and similar data gaps in early steps. Three additional papers in this series describe the results and conclusions for each case-study receptor regarding its MOA, relevance of the MOA to humans and the resulting dose-response implications.",10.3109/10408444.2013.835785,2013-10-02T03:23:20+00:00,Critical Reviews in Toxicology,4,24083384,2013-10-01T00:00:00+00:00,Dose-response approaches for nuclear receptor-mediated modes of action for liver carcinogenicity: Results of a workshop.
59,,10.1186/s13041-015-0099-9,2015-02-24T14:22:01+00:00,Molecular Brain,3,25757474,2015-02-15T00:00:00+00:00,"Ontogeny of biochemical, morphological and functional parameters of synaptogenesis in primary cultures of rat hippocampal and cortical neurons"
60,"Adverse outcome pathways (AOPs) are designed to describe linkages of key events (KEs) within a biological pathway that result in an adverse outcome associated with chemical perturbation of a well-defined molecular initiating event (MIE). Risk assessors have traditionally relied on data from apical endpoints (e.g., mortality, growth, reproduction) to derive benchmark values for use in determining the potential adverse impacts of chemicals. One goal in building reliable and well-characterized AOPs is to identify relevant in vitro assays and/or in vivo biomarkers that could be used in screening potential hazard of substances, thereby reducing costs and increasing the number of chemicals that can be evaluated in a timely fashion. The purpose of this review article is to build an AOP for substances with a MIE of acetylcholinesterase inhibition leading to acute mortality following guidance developed by the Organisation for Economic Cooperation and Development. In contrast to most other AOPs developed to-date where coverage is for a relatively limited taxonomic group or life-stage, this AOP is applicable to a wide range of species at multiple life-stages. Further, while development of most AOPs has relied on data for a few model chemicals, the AOP described herein captures information from a large number of studies with a diversity of organophosphate and carbamate insecticides. Environ Toxicol Chem © 2014 SETAC.",10.1002/etc.2662,2014-08-25T16:11:57+00:00,Environmental Toxicology & Chemistry,1,24922588,,Development of an adverse outcome pathway for acetylcholinesterase inhibition leading to acute mortality
61,"There is increasing emphasis on the use of biomarkers of adverse outcomes in safety assessment and translational research. We evaluated serum biomarkers and targeted metabolite profiles after exposure to pesticides (permethrin, deltamethrin, imidacloprid, carbaryl, triadimefon, fipronil) with different neurotoxic actions. Adult male Long-Evans rats were evaluated after single exposure to vehicle or one of two doses of each pesticide at the time of peak effect. The doses were selected to produce similar magnitude of behavioral effects across chemicals. Serum or plasma was analyzed using commercial cytokine/protein panels and targeted metabolomics. Additional studies of fipronil used lower doses (lacking behavioral effects), singly or for 14 days, and included additional markers of exposure and biological activity. Biomarker profiles varied in the number of altered analytes and patterns of change across pesticide classes, and discriminant analysis could separate treatment groups from control. Low doses of fipronil produced greater effects when given for 14 days compared to a single dose. Changes in thyroid hormones and relative amounts of fipronil and its sulfone metabolite also differed between the dosing regimens. Most cytokine changes reflected alterations in inflammatory responses, hormone levels, and products of phospholipid, fatty acid, and amino acid metabolism. These findings demonstrate distinct blood-based analyte profiles across pesticide classes, dose levels, and exposure duration. These results show promise for detailed analyses of these biomarkers and their linkages to biological pathways.",10.1016/j.taap.2014.11.016,2015-03-25T14:54:32+00:00,Toxicology & Applied Pharmacology,1,25497286,2014-12-18T00:00:00+00:00,Assessment of serum biomarkers in rats after exposure to pesticides of different chemical classes.
62,"Disruption of the thyroid hormone (TH) system, an important mode of action, can lead to ecologically relevant adverse outcomes, especially during embryonic development. The present study characterizes the effects of disruption of TH synthesis on swim bladder inflation during zebrafish early-life stages using 2-mercaptobenzothiazole (MBT), a thyroid peroxidase (TPO) inhibitor. Zebrafish were exposed to different MBT concentrations until 120/168h post fertilization (hpf) and 32days post fertilization (dpf), in two sets of experiments, to investigate the effects of TPO inhibition on posterior and anterior swim bladder inflation respectively, as well as whole body thyroid hormone concentrations (triiodothyronine (T3) and its prohormone, thyroxine (T4)). At 120hpf, MBT did not directly impair posterior chamber inflation or size, while anterior chamber inflation and size was impaired at 32dpf. As previously shown in amphibians and mammals, we confirmed that MBT inhibits TPO in fish. Whole-body T4 decreased after MBT exposure at both time points, while T3 levels were unaltered. There was a significant relationship between T4 levels and the anterior chamber surface at 32dpf. The absence of effects on posterior chamber inflation can possibly be explained by maternal transfer of T4 into the eggs. These maternally derived THs are depleted at 32dpf and cannot offset TPO inhibition, resulting in impaired anterior chamber inflation. Therefore, we hypothesize that TPO inhibition only inhibits swim bladder inflation during late development, after depletion of maternally derived T4. In a previous study, we showed that iodothyronine deiodinase (ID) knockdown impaired posterior chamber inflation during early development. Our findings, in parallel with similar effects observed in fathead minnow (see part I, this issue) suggest that thyroid disruption impacts swim bladder inflation, and imply an important distinction among specific subtypes of TH disrupting chemicals. However, the existence of another - yet unknown - mode of action of MBT impacting swim bladder inflation cannot be excluded. These results can be helpful for delineating adverse outcome pathways (AOPs) linking TPO inhibition, ID inhibition and other TH related molecular initiating events, to impaired swim bladder inflation in fish during early life stages. Such AOPs can support the use of in vitro enzyme inhibition assays for predicting reduced survival due to impaired posterior and anterior chamber inflation.",10.1016/j.aquatox.2015.12.023,2016-01-19T12:00:11+00:00,Aquatic Toxicology,1,26818709,2016-01-29T22:01:02+00:00,Impaired anterior swim bladder inflation following exposure to the thyroid peroxidase inhibitor 2-mercaptobenzothiazole – Part II: zebrafish 
63,"Recovery of fish and wildlife populations after stressor mitigation serves as a basis for evaluating remediation success. Unfortunately, effectively monitoring population status on a routine basis can be difficult and costly. In the present study, the authors describe a framework that can be applied in conjunction with field monitoring efforts (e.g., through effects-based monitoring programs) to link chemically induced alterations in molecular and biochemical endpoints to adverse outcomes in whole organisms and populations. The approach employs a simple density-dependent logistic matrix model linked to adverse outcome pathways (AOPs) for reproductive effects in fish. Application of this framework requires a life table for the organism of interest, a measure of carrying capacity for the population of interest, and estimation of the effect of stressors on vital rates of organisms within the study population. The authors demonstrate the framework using linked AOPs and population models parameterized with long-term monitoring data for white sucker (Catostomus commersoni) collected from a study site at Jackfish Bay, Lake Superior, Canada. Individual responses of fish exposed to pulp mill effluent were used to demonstrate the framework's capability to project alterations in population status, both in terms of ongoing impact and subsequent recovery after stressor mitigation associated with process changes at the mill. The general approach demonstrated at the Jackfish Bay site can be applied to characterize population statuses of other species at a variety of impacted sites and can account for effects of multiple stressors (both chemical and nonchemical) and dynamics within complex landscapes (i.e., meta-populations including emigration and immigration processes). Environ Toxicol Chem 2015;9999:1-11. © 2015 SETAC.",10.1002/etc.2972,2015-07-01T06:03:37+00:00,Environmental Toxicology & Chemistry,2,25943079,2015-05-05T00:00:00+00:00,"Linking mechanistic toxicology to population models in forecasting recovery from chemical stress: A case study from Jackfish Bay, Ontario, Canada."
64,,10.1016/j.envpol.2014.07.003,,,0,,,
65,"An adverse outcome pathway (AOP) is a conceptual framework that organizes existing knowledge concerning biologically plausible, and empirically supported, links between molecular-level perturbation of a biological system and an adverse outcome at a level of biological organization of regulatory relevance. Systematic organization of information into AOP frameworks has potential to improve regulatory decision-making through greater integration and more meaningful use of mechanistic data. However, for the scientific community to collectively develop a useful AOP knowledgebase that encompasses toxicological contexts of concern to human health and ecological risk assessment, it is critical that AOPs be developed in accordance with a consistent set of core principles. Based on the experiences and scientific discourse among a group of AOP practitioners, we propose a set of five fundamental principles that guide AOP development: (1) AOPs are not chemical specific; (2) AOPs are modular and composed of reusable components-notably key events (KEs) and key event relationships (KERs); (3) an individual AOP, composed of a single sequence of KEs and KERs, is a pragmatic unit of AOP development and evaluation; (4) networks composed of multiple AOPs that share common KEs and KERs are likely to be the functional unit of prediction for most real-world scenarios; and (5) AOPs are living documents that will evolve over time as new knowledge is generated. The goal of the present article was to introduce some strategies for AOP development and detail the rationale behind these 5 key principles. Consideration of these principles addresses many of the current uncertainties regarding the AOP framework and its application and is intended to foster greater consistency in AOP development.",10.1093/toxsci/kfu199,2014-12-02T09:53:38+00:00,Toxicological Sciences,1,25466378,,Adverse Outcome Pathway (AOP) Development I: Strategies and Principles
66,,10.1021/ie501081q,2014-05-07T01:09:47+00:00,Industrial & Engineering Chemistry Research,1,,2014-05-06T00:00:00+00:00,Magnetic Silica-Supported Palladium Catalyst: Synthesis of Allyl Aryl Ethers in Water
67,"The presence of perfluoroalkyl acids (PFAAs) in biosolids destined for use in agriculture has raised concerns about their potential to enter the terrestrial food chain via bioaccumulation in edible plants. Uptake of PFAAs by greenhouse lettuce ( Lactuca sativa ) and tomato ( Lycopersicon lycopersicum ) grown in an industrially impacted biosolids-amended soil, a municipal biosolids-amended soil, and a control soil was measured. Bioaccumulation factors (BAFs) were calculated for the edible portions of both lettuce and tomato. Dry weight concentrations observed in lettuce grown in a soil amended (biosolids:soil dry weight ratio of 1:10) with PFAA industrially contaminated biosolids were up to 266 and 236 ng/g for perfluorobutanoic acid (PFBA) and perfluoropentanoic acid (PFPeA), respectively, and reached 56 and 211 ng/g for PFBA and PFPeA in tomato, respectively. BAFs for many PFAAs were well above unity, with PFBA having the highest BAF in lettuce (56.8) and PFPeA the highest in tomato (17.1). In addition, the BAFs for PFAAs in greenhouse lettuce decreased approximately 0.3 log units per CF2 group. A limited-scale field study was conducted to verify greenhouse findings. The greatest accumulation was seen for PFBA and PFPeA in both field-grown lettuce and tomato; BAFs for PFBA were highest in both crops. PFAA levels measured in lettuce and tomato grown in field soil amended with only a single application of biosolids (at an agronomic rate for nitrogen) were predominantly below the limit of quantitation (LOQ). In addition, corn ( Zea mays ) stover, corn grains, and soil were collected from several full-scale biosolids-amended farm fields. At these fields, all PFAAs were below the LOQ in the corn grains and only trace amounts of PFBA and PFPeA were detected in the corn stover. This study confirms that the bioaccumulation of PFAAs from biosolids-amended soils depends strongly on PFAA concentrations, soil properties, the type of crop, and analyte.",10.1021/es403094q,2014-01-15T17:11:54+00:00,Environmental Science & Technology,2,24206563,2013-11-13T00:00:00+00:00,Uptake of Perfluoroalkyl Acids into Edible Crops via Land Applied Biosolids: Field and Greenhouse Studies
68,"Statin drugs lower blood cholesterol by inhibiting hepatic 3-hydroxy-3-methylglutaryl-Coenzyme-A reductase. Statins are known to inhibit sterol production in the testis, but effect of statins on testosterone production has not been studied critically in vitro and clinical data are controversial. We measured 18-h testosterone production in vitro, using highly purified rat Leydig cells exposed to atorvastatin, mevastatin, or simvastatin and also determined if statin-induced inhibition of testosterone production could be bypassed with substrate distal to cholesterol. Statins had no effect on testosterone production during culture without LH. However, with 10ng/mL LH, testosterone production was ≥12-fold higher and markedly inhibited (-40%) by ≥0.3μM statin. Leydig cells provided sub-saturating pregnenolone or progesterone to bypass the site of statin action, maintained LH-stimulated testosterone production at or above amounts observed with LH stimulation and no statin. Pregnenolone resulted in greater testosterone production, but LH responsiveness was lost. With progesterone, LH responsiveness was maintained.",10.1016/j.reprotox.2013.12.010,2014-01-28T05:25:53+00:00,Reproductive Toxicology,3,24462564,,Statin Drugs Markedly Inhibit Testosterone Production by Rat Leydig Cells in Vitro: Implications for Men
